,content,recipient,sender,sentOnBehalfOf,session,block
1080,"Hello,\n\n(22,32) and (38,14) are good for us .. what do you think??",con2,con3,con3,2108,0
1081,"Martian Meteorology Specialist: Two options that look good to us at (38.14) and (22,32).  Let us know what you think.  Feel free to throw out some options our way. ",teamConstr,teamvc,vc1,2108,0
1082,"Martian Meteorology Specialist: Niceeeee!!!! (originally from Maryland here lol)  Two options that look good to us at (38.14) and (22,32).  Let us know what you think.  Feel free to throw out some options our way. ",teamGeo,teamvc,vc1,2108,0
1083,"Sedimentologist: (14, 29) literally has 100% water loss. I'm sorry for your loss my dude.",teamGeo,teamGeo,geo3,2108,0
1084,"Sedimentologist: Well, I guess the geology team needs to dunk on them then",teamGeo,teamGeo,geo3,2108,0
1085,"Sedimentologist: (22,32) has 4/5 of us on it here",teamGeo,teamGeo,geo3,2108,0
1086,"Sedimentologist: (38,14) has 5/5 of us on it here",teamGeo,teamGeo,geo3,2108,0
1087,"Biochemical Engineer: 38,14 very good",teamvc,teamEng,eng1,2108,0
1088,"Ok, word",con1,geo3,geo3,2108,0
1089,"check (38,14) ??",con2,con3,con3,2108,0
1090,"Structural Geologist: 6:43 yup (38,14) is good for me but some of the others are saying it isnt perfect",teamGeo,teamGeo,geo2,2108,0
1091,"38,14 works for some people on our team but the water is bad apparently\n",geo3,con1,con1,2108,0
1092,"22,32 is 4/5 for us anyway",con1,geo3,geo3,2108,0
1093,"Structural Geologist: 6:43 (27,13) has been cited my many of our members as \""not the worst\""",teamGeo,teamGeo,geo2,2108,0
1094,"38,14 is 5/5 for us",con1,geo3,geo3,2108,0
1095,"Mechanical Engineer: Those seem to have minimal water depth, can you check out (27,13)?\n",teamvc,teamEng,eng2,2108,0
1096,"Structural Geologist: 6:44 RIP (14,29) 2022-2022",teamGeo,teamGeo,geo2,2108,0
1097,"Hi, can you try out (27,13)",eng1,eng2,eng2,2108,0
1098,"Drilling Specialist: (22, 32) does not work\n",teamConstr,teamConstr,con2,2108,1
1099,"Structural Geologist: 6:45 I dont think (38,14) and (22,32) didnt end up working for us",teamvc,teamGeo,geo2,2108,1
1100,"38,14 has low/no output",con3,con2,con2,2108,1
1101,"Sedimentologist: Nothing is perfect, you can't always get the dolby surround sound upgrade in that new truck but you still need a new truck",teamGeo,teamGeo,geo3,2108,1
1102,"I mean, hydrogeologist says it's aight in terms of water quality. Idk",con1,geo3,geo3,2108,1
1103,"Sedimentologist: Looking at 27, 13 now",teamGeo,teamGeo,geo3,2108,1
1104,"Sedimentologist: 93% water loss, sadly. We'd only get a trickle out of there.",teamGeo,teamGeo,geo3,2108,1
1105,"Materials Specialist: point (38,14) is the best option for us .. what do you think ?",teamConstr,teamConstr,con3,2108,1
1106,"Martian Meteorology Specialist: Can you briefly explain to me why minimal water depth is not desirable?  Our sedimentologist says that there is 93% water loss at (27,13) and our materials specialist says that it's much too deep. ",teamEng,teamvc,vc1,2108,1
1107,Sedimentologist: We're going to try and send y'all some hello videos in the next couple of days. So you can put faces to names.,teamGeo,teamGeo,geo3,2108,1
1108,Sedimentologist: That way I'm not just ya boi the sedimentologist.,teamGeo,teamGeo,geo3,2108,1
1109,"Structural Geologist: 6:53 ok we have polled our group and (22,32) is 3/7 for us",teamGeo,teamGeo,geo2,2108,1
1110,Sedimentologist: and/or voices if y'all already know what we look like,teamGeo,teamGeo,geo3,2108,1
1111,Materials Specialist: Any suggestions (points) from your side Chicago Team ??,teamConstr,teamConstr,con3,2108,1
1112,"Martian Meteorology Specialist: (14,29) has 100% water loss according to our sedimentologist.  Any other suggestions?\n",teamvc,teamvc,vc1,2108,1
1113,"Y'all have any warm and fuzzies about any points yet? We're still hunting but we'll def smash that like on 38,14 immediately.",con1,geo3,geo3,2108,1
1114,"Structural Geologist: 6:56 and we polled on (38,14) and we are 5/7",teamGeo,teamGeo,geo2,2108,1
1115,Drilling Specialist: (29 2) from us,teamConstr,teamConstr,con2,2108,1
1116,"Sedimentologist: I mean, we're really about that (38, 14) life rn",teamGeo,teamGeo,geo3,2108,1
1117,What's up Drill? Just a friendly hello from your local sedimentologist,con2,geo3,geo3,2108,1
1118,"Sedimentologist: Look man, we're 5/5 on that point so we can LIKE BUTTON SMASH rn if y'all are about it",teamGeo,teamGeo,geo3,2108,1
1119,Martian Meteorology Specialist: What points are you all looking at your end? Let us know. \n,teamvc,teamvc,vc1,2108,1
1120,"Structural Geologist: 7:01 (29,2) is good for 6/7 of us! let us know what it's like for yall!",teamGeo,teamGeo,geo2,2108,1
1121,"Materials Specialist: Point (29,2) has 97% water loss !!!",teamConstr,teamConstr,con3,2108,1
1122,"Structural Geologist: 7:02 and yea if we dont find anything better that is like everyone is onboard by the end then (38,14) can be our default",teamGeo,teamGeo,geo2,2108,1
1123,"29,2 is our best point so far, 38,14 is our backup\n",geo3,con1,con1,2108,1
1124,"Martian Meteorology Specialist: It (38.14) does not work, then try (38, 23). ",teamvc,teamvc,vc1,2108,1
1125,"Sedimentologist: If (38, 14) then try (38, 23)",teamGeo,teamGeo,geo3,2108,1
1126,Hello! currently looking at 29 2,geo3,con2,con2,2108,1
1127,"Sedimentologist: if (38, 14) does not work*",teamGeo,teamGeo,geo3,2108,1
1128,"Sedimentologist: Otherwise, we'll literally LIKE IT RN",teamGeo,teamGeo,geo3,2108,1
1129,"If 38,14 doesn't work, try 38,23. 38,14 is our best best still, though.",con1,geo3,geo3,2108,1
1130,"Sedimentologist: 29,2 has 97% water loss lmao big rip",teamGeo,teamGeo,geo3,2108,2
1131,"Sedimentologist: Word up to the max on 38,14",teamGeo,teamGeo,geo3,2108,2
1132,Drilling Specialist: yikes,teamConstr,teamConstr,con2,2108,2
1133,"29,2 has 97% water loss. I'm sorry to report.",con1,geo3,geo3,2108,2
1134,we checked it out. It had 97% water loss. A true tragedy.,con2,geo3,geo3,2108,2
1135,"Structural Geologist: 7:11 some members are just working out specific calculations for (38,14) but it seems like it'll go",teamGeo,teamGeo,geo2,2108,2
1136,Martian Meteorology Specialist: Hey team - are you there ?\n,teamvc,teamvc,vc1,2108,2
1137,Structural Geologist: 7:15 we have 7 minutes left!,teamGeo,teamGeo,geo2,2108,2
1138,Sedimentologist: Big party time,teamGeo,teamGeo,geo3,2108,2
1139,"Martian Terrain Specialist: We're going with 38,14",teamvc,teamvc,vc2,2108,2
1140,Sedimentologist: You wanna throw the point into the system?,teamGeo,teamGeo,geo3,2108,2
1141,"Structural Geologist: 7:15 and WE ARE ALSO ON BOARD WITH (38,14)!!!!!!!",teamGeo,teamGeo,geo2,2108,2
1142,Structural Geologist: 7:16 I'll throw it into signoff now!,teamGeo,teamGeo,geo2,2108,2
1143,"Martian Meteorology Specialist: I'm hearing word that you all are debating 38,14 still.  How is it looking for you? Any decisions?  ",teamEng,teamvc,vc1,2108,2
1144,"Martian Meteorology Specialist: I'm hearing word that you all are debating 38,14 still.  How is it looking for you? Any decisions?  ",teamConstr,teamvc,vc1,2108,2
1145,Sedimentologist: BIG MOOD,teamGeo,teamGeo,geo3,2108,2
1146,"Martian Meteorology Specialist: I'm hearing word that you all are debating 38,14 still.  How is it looking for you? Any decisions?  ",teamvc,teamvc,vc1,2108,2
1147,"Materials Specialist: I think we are going to choose (38,14) since all of us here agreed on that point ",teamConstr,teamConstr,con3,2108,2
1148,Sedimentologist: WE'RE LITERALLY MAKING MONEY MOVES,teamGeo,teamGeo,geo3,2108,2
1149,Materials Specialist: Sound good,teamvc,teamConstr,con3,2108,2
1150,"It was good, homie! Y'all keep it real out there!",con1,geo3,geo3,2108,2
1151,"Big up, Drill - keep it real and we'll catch you on the next ride!",con2,geo3,geo3,2108,2
1152,"Materials Specialist: All of us here agreed on (38,14)",teamvc,teamConstr,con3,2108,2
1153,Structural Geologist: 7:19 yes I put the point into the system!,teamGeo,teamGeo,geo2,2108,2
1154,Drilling Specialist: We are good with 38 14,teamConstr,teamConstr,con2,2108,2
1155,Sedimentologist: Until next time big homie,teamGeo,teamGeo,geo3,2108,2
1156,40 seconds left!\n,con3,eng3,eng3,2108,2
1157,"Mechanical Engineer: We are set for it, 30 seconds left!",teamvc,teamEng,eng2,2108,2
1158,Fluid Engineer: 30 seconds left!,teamConstr,teamEng,eng3,2108,2
1159,Structural Geologist: <3,teamGeo,teamGeo,geo2,2108,2
1160,"Sedimentologist: What's up team, it's a boi, the Sedimentologist - back at it again with the points. We out here in MOSCOW, RUSSIA ready to GET DOWN TO BUSINESS. 15:25",teamGeo,teamGeo,geo3,2109,0
1161,What's up Big Ops!? We are out here ready to literally conquer Mars. 15:25,con1,geo3,geo3,2109,0
1162,Martian Meteorology Specialist: Hey Team! We're ready to rock and roll over here in Moscow! ,teamvc,teamvc,vc1,2109,0
1163,"Materials Specialist: Hello Chicago team, SIRIUS crew is ready to start",teamConstr,teamConstr,con3,2109,0
1164,Hello and good morning Big Drill - hope y'all are doing well and your day is starting off right by WINNING on Mars. 15:26,con2,geo3,geo3,2109,0
1165,Martian Meteorology Specialist: Greetings! We're ready to rock and roll over here in Moscow! Send us a message when you're ready! ,teamEng,teamvc,vc1,2109,0
1166,Martian Meteorology Specialist: Greetings! We're ready to rock and roll over here in Moscow! Send us a message when you're ready! ,teamGeo,teamvc,vc1,2109,0
1167,Martian Meteorology Specialist: Greetings! We're ready to rock and roll over here in Moscow! Send us a message when you're ready! ,teamConstr,teamvc,vc1,2109,0
1168,"Sedimentologist: (30, 35) - (+++++) OK, 161408.51 Available, ?95,231.0209? After loss",teamGeo,teamGeo,geo3,2109,0
1169,"(30, 35) - (+++++) OK, 161408.51 Available, ?95,231.0209? After loss",con2,geo3,geo3,2109,0
1170,"(30, 35) - (+++++) OK, 161408.51 Available, ?95,231.0209? After loss",con1,geo3,geo3,2109,0
1171,"Materials Specialist: here we agreed on point (30,35)",teamConstr,teamConstr,con3,2109,0
1172,"Hi, we started. 30,35",eng2,eng1,eng1,2109,0
1173,"Hi, we started. 30,35",eng3,eng1,eng1,2109,0
1174,"Biochemical Engineer: Hi, we started. 30,35",teamEng,teamEng,eng1,2109,0
1175,"Sedimentologist: (49, 46) - (++++-) OK, 166733.78 Available, ?96,705.5924? After loss",teamGeo,teamGeo,geo3,2109,1
1176,"(49, 46) - (++++-) OK, 166733.78 Available, ?96,705.5924? After loss",con1,geo3,geo3,2109,1
1177,"(49, 46) - (++++-) OK, 166733.78 Available, ?96,705.5924? After loss",con2,geo3,geo3,2109,1
1178,Maintenance Specialist: Nice to hear back from you guys 6:39 AM cst\n,teamvc,teamvc,vc3,2109,2
1179,Martian Terrain Specialist: Hi! Let's go gang,teamvc,teamvc,vc2,2109,2
1180,Maintenance Specialist: Structural geologist is running late on our end today\n,teamvc,teamvc,vc3,2109,2
1181,"Hi, received!\n",eng1,eng2,eng2,2109,2
1182,"Mechanical Engineer: Hi, received!",teamEng,teamEng,eng2,2109,2
1183,"Drilling Specialist: (30,35) manual auger",teamConstr,teamConstr,con2,2109,2
1184,"Materials Specialist: and Also (30,21)",teamConstr,teamConstr,con3,2109,2
1185,"Sedimentologist: (30, 21) - (+++++) OK, 322152.49 Available, ?135,304.0458? After loss",teamGeo,teamGeo,geo3,2109,2
1186,"(30, 21) - (+++++) OK, 322152.49 Available, ?135,304.0458? After loss",con1,geo3,geo3,2109,2
1187,"(30, 21) - (+++++) OK, 322152.49 Available, ?135,304.0458? After loss",con2,geo3,geo3,2109,2
1188,"Martian Terrain Specialist: We are looking at 30, 45 at the moment",teamvc,teamvc,vc2,2109,2
1189,"Mechanical Engineer: Hey hey! We've tried 30,35 49,46 and 30,45. 30,45 was the best option for us so far.",teamvc,teamEng,eng2,2109,2
1190,"30,21",eng2,eng1,eng1,2109,2
1191,"30,21",eng3,eng1,eng1,2109,2
1192,"Biochemical Engineer: 30,21",teamEng,teamEng,eng1,2109,2
1193,"Martian Meteorology Specialist: No problem! We would like you to check (30,35), (49.46), (30,21), and (6,21) please.  Let us know if there are any points on your end that you would like us to check!",teamvc,teamvc,vc1,2109,2
1194,"(06, 21) - (+++++) OK, 234625.78 Available, ?91,504.0542? After loss",con2,geo3,geo3,2109,2
1195,"(06, 21) - (+++++) OK, 234625.78 Available, ?91,504.0542? After loss",con1,geo3,geo3,2109,2
1196,"Sedimentologist: (06, 21) - (+++++) OK, 234625.78 Available, ?91,504.0542? After loss",teamGeo,teamGeo,geo3,2109,2
1197,Hello Drilling Specialist\n,con2,con3,con3,2109,2
1198,"Drilling Specialist: over here we're also taking a look at 30,45 which would also be manual auger\n",teamConstr,teamConstr,con2,2109,2
1199,"@structgeo, where you at boiii?",geo2,geo3,geo3,2109,2
1200,"we agreed on point (30,21)",con2,con3,con3,2109,2
1201,Hi we have started as well,eng1,eng3,eng3,2109,2
1202,Sedimentologist: WHERE WE DROPPIN BOIZ,teamGeo,teamGeo,geo3,2110,0
1203,WHERE WE DROPPIN,con1,geo3,geo3,2110,0
1204,15:25 COMMS CHECK,con1,geo3,geo3,2110,0
1205,Sedimentologist: 15:25 COMMS CHECK LETSGOOOO,teamGeo,teamGeo,geo3,2110,0
1206,LET'S GET DOWN TO BUSINESS TO DEFEAT THE HUNS,con1,geo3,geo3,2110,0
1207,Martian Huns*,con1,geo3,geo3,2110,0
1208,Sedimentologist: WE COMIN' IN HOT INTO MARS GET READY FOR ORBITAL DROP,teamGeo,teamGeo,geo3,2110,0
1209,Martian Meteorology Specialist: Hey!!! Checking in from Moscow!   Let us know when you're there. ,teamvc,teamvc,vc1,2110,0
1210,Martian Meteorology Specialist: Hello hello! Greetings from Moscow! Let us know when you're ready! :),teamConstr,teamvc,vc1,2110,0
1211,"Martian Meteorology Specialist: Hello! Moscow team is here, let us know when you're ready! :)\n",teamEng,teamvc,vc1,2110,0
1212,Martian Meteorology Specialist: Hello hello! Greetings from Moscow! Let us know when you're there :),teamGeo,teamvc,vc1,2110,0
1213,Sedimentologist: ??????????????????????,teamvc,teamGeo,geo3,2110,0
1214,15:30 WHAT'S UP BIG DRILL! WE READY TO GO TO MARS TODAY?,con2,geo3,geo3,2110,0
1215,Structural Geologist: 6:30 COMMS CHECK RECEIVED LETS DROP TILTED YEEAAAAA!!!!!!!!,teamGeo,teamGeo,geo2,2110,0
1216,"Sedimentologist: ???? ?????, ?????????? ???????",teamGeo,teamGeo,geo3,2110,0
1217,"Sedimentologist: Alright, let's get ready to GO",teamGeo,teamGeo,geo3,2110,0
1218,Hydrogeologist: ?????,teamGeo,teamGeo,geo1,2110,0
1219,"Materials Specialist: Hello everyone, This Material specialist form Moscow, Russia",teamConstr,teamConstr,con3,2110,0
1220,Sedimentologist: OH YEAH,teamGeo,teamGeo,geo3,2110,0
1221,Hydrogeologist: ?????,teamvc,teamGeo,geo1,2110,0
1222,Hydrogeologist: ?????? ?? ?????????? ? ??,teamGeo,teamGeo,geo1,2110,0
1223,Hydrogeologist: ?????? ?? ?????????? ? ??\n,teamGeo,teamGeo,geo1,2110,0
1224,Martian Meteorology Specialist: ????? ???????,teamGeo,teamvc,vc1,2110,0
1225,Sedimentologist: ??????? ??,teamGeo,teamGeo,geo3,2110,0
1226,Hydrogeologist: ?? ??? ??????,teamvc,teamGeo,geo1,2110,0
1227,Sedimentologist: ALRIGHT THIS IS A RUSSIAN CHAT NOW WHAT'S UP,teamGeo,teamGeo,geo3,2110,0
1228,"Hello everyone, SIRIUS team is ready form RUSSIA",geo1,con3,con3,2110,0
1229,Hi Vika,geo1,con3,con3,2110,0
1230,Structural Geologist: 6:38 HEELLLLLOOOOO WE JUST WAITIN ON ONE,teamvc,teamGeo,geo2,2110,0
1231,Operations Specialist: hello! ,teamConstr,teamConstr,con1,2110,0
1232,Operations Specialist: Hello! we are ready to go ,teamvc,teamConstr,con1,2110,0
1233,hello we are finally here (6:39)\n,geo3,con1,con1,2110,0
1234,?????? ??????!\n,con3,geo1,geo1,2110,0
1235,??? ?????,con3,geo1,geo1,2110,0
1236,"YESSSIR we are missing some people tho, will start now",geo3,con2,con2,2110,0
1237,"Drilling Specialist: not signing off now, just getting it ready",teamvc,teamConstr,con2,2110,0
1238,Sedimentologist: WOOOOORD,teamGeo,teamGeo,geo3,2110,0
1239,"Martian Meteorology Specialist: Awesomesauce! We would like to suggest (7,12)!",teamConstr,teamvc,vc1,2110,0
1240,"Sedimentologist: (07, 12) - (+++--) OK, 219698.42 Available, ?109,849.21? After Loss",teamGeo,teamGeo,geo3,2110,0
1241,"Martian Meteorology Specialist: We would like to suggest (7,12)!",teamvc,teamvc,vc1,2110,0
1242,"Sedimentologist: 07, 12 lookin' aight FYI",teamGeo,teamGeo,geo3,2110,0
1243,"(07, 12) - (+++--) OK, 219698.42 Available, ?109,849.21? After Loss",con1,geo3,geo3,2110,0
1244,"Martian Meteorology Specialist: We would like to suggest (7,12)!",teamEng,teamvc,vc1,2110,0
1245,Hydrogeologist: FYYYYYY,teamGeo,teamGeo,geo1,2110,0
1246,"(07, 12) lookin' like a decent starting point to check out",con1,geo3,geo3,2110,0
1247,???? .. ????????,geo1,con3,con3,2110,0
1248,"Martian Meteorology Specialist: Awesomesauceeeee!  In the meantime, we suggest (7,12) as a possible location!",teamGeo,teamvc,vc1,2110,0
1249,??????,geo1,con3,con3,2110,0
1250,Good,geo1,con3,con3,2110,0
1251,WE OUT HERE LESSGO,con2,geo3,geo3,2110,0
1252,"we are thinking (4,23) right now\n",geo3,con1,con1,2110,0
1253,"Mechanical Engineer: Hi! We are currently working with 4.23, let us know what you guys think!\n",teamvc,teamEng,eng2,2110,0
1254,"Structural Geologist: 6:44 we looking at (4,23)!\nrecharge - 15495\namt water - 264437",teamGeo,teamGeo,geo2,2110,0
1255,"Sedimentologist: (08, 33) - () OK, 216138.2 Available, ?101,584.954? After Loss",teamGeo,teamGeo,geo3,2110,0
1256,"Sedimentologist: 8, 33 lookin' aight as well",teamGeo,teamGeo,geo3,2110,0
1257,"(08, 33) - () OK, 216138.2 Available, ?101,584.954? After Loss",con1,geo3,geo3,2110,0
1258,"08, 33 lookin' extra dece to our team",con1,geo3,geo3,2110,0
1259,"(08, 33) - () OK, 216138.2 Available, ?101,584.954? After Loss",con2,geo3,geo3,2110,0
1260,"8, 33 lookin' dece tbh",con2,geo3,geo3,2110,0
1261,"Materials Specialist: How about (8,33) ??",teamConstr,teamConstr,con3,2110,0
1262,"(07, 12) - (+++--) OK, 219698.42 Available, ?109,849.21? After Loss",con2,geo3,geo3,2110,0
1263,"7, 12 lookin' aight as well tbh",con2,geo3,geo3,2110,0
1264,"Hydrogeologist: 3:47 \nWhat do you think about 8,33",teamvc,teamGeo,geo1,2110,0
1265,??????),con3,geo1,geo1,2110,0
1266,"how do you guys feel about 4, 23",geo1,eng3,eng3,2110,0
1267,"how do you guys feel about 4, 23",geo2,eng3,eng3,2110,0
1268,"Materials Specialist: and (14,41)",teamConstr,teamConstr,con3,2110,0
1269,"how do you guys feel about 4, 23",geo3,eng3,eng3,2110,0
1270,"Fluid Engineer: how do you guys feel about 4, 23",teamGeo,teamEng,eng3,2110,0
1271,"how do you guys feel about 4, 23",eng1,eng3,eng3,2110,0
1272,"how do you guys feel about 4, 23",eng2,eng3,eng3,2110,0
1273,"Mechanical Engineer: (7,12) seems to have little water so that's not great for us \n",teamvc,teamEng,eng2,2110,0
1274,"Fluid Engineer: how do you guys feel about 4, 23",teamEng,teamEng,eng3,2110,0
1275,"how do you guys feel about 4, 23",con1,eng3,eng3,2110,0
1276,Verifying now,con1,geo3,geo3,2110,0
1277,Sedimentologist: Verifying now,teamGeo,teamGeo,geo3,2110,0
1278,"how do you guys feel about 4, 23",con2,eng3,eng3,2110,0
1279,"how do you guys feel about 4, 23",con3,eng3,eng3,2110,0
1280,"Fluid Engineer: how do you guys feel about 4, 23",teamConstr,teamEng,eng3,2110,0
1281,"how do you guys feel about 4, 23",vc1,eng3,eng3,2110,0
1282,"how do you guys feel about 4, 23",vc2,eng3,eng3,2110,0
1283,"how do you guys feel about 4, 23",vc3,eng3,eng3,2110,0
1284,"Operations Specialist: its okay, not ideal",teamConstr,teamConstr,con1,2110,0
1285,"Martian Meteorology Specialist: Too deep according to our Materials Specialist (3,600 depth) and high loss of water at that point according to our Sedimentologist!",teamEng,teamvc,vc1,2110,0
1286,"Operations Specialist: 7,12 does not work at all for our water perosn\n",teamvc,teamConstr,con1,2110,0
1287,Sedimentologist: 94% Water loss FYI. ,teamGeo,teamGeo,geo3,2110,0
1288,"Sedimentologist: (04, 43) - () Meh, 315395.37 Available, ?22,077.6759? After loss",teamGeo,teamGeo,geo3,2110,0
1289,"(04, 43) - () Meh, 315395.37 Available, ?22,077.6759? After loss",eng3,geo3,geo3,2110,0
1290,94% Water loss tbh,eng3,geo3,geo3,2110,0
1291,"Sedimentologist: (04, 43) - () Meh, 315395.37 Available, ?22,077.6759? After loss",teamEng,teamGeo,geo3,2110,0
1292,Sedimentologist: 94% water loss pretty meh in terms of amount we can utilize,teamEng,teamGeo,geo3,2110,0
1293,"(04, 43) - () Meh, 315395.37 Available, ?22,077.6759? After loss",con1,geo3,geo3,2110,0
1294,94% water loss. Kinda not the vibe we're lookin' for,con1,geo3,geo3,2110,0
1295,Depth of UCA : 3626,eng3,con3,con3,2110,0
1296,it's too deep,eng3,con3,con3,2110,0
1297,Mechanical Engineer: Is it a poor option but still feasible? or worst possible option\n,teamvc,teamEng,eng2,2110,0
1298,the cost of equipment will be very high,eng3,con3,con3,2110,0
1299,Too deep according to our materials specialist and high water loss according to our sedimentologist ,eng2,vc1,vc1,2110,0
1300,Materials Specialist: which one?,teamConstr,teamConstr,con3,2110,0
1301,"Mechanical Engineer: (8,33) is a looking good to me",teamvc,teamEng,eng2,2110,0
1302,Too deep according to materials specialist and high water loss according to the sedimentologist,eng3,vc1,vc1,2110,0
1303,"Sedimentologist: (23, 13) - () Ok, 160314.4 Available, ?75,347.768? After Loss",teamGeo,teamGeo,geo3,2110,0
1304,yikes,geo3,eng3,eng3,2110,0
1305,"Martian Meteorology Specialist: Copy that! We would like to suggest (8,33) and (23,13)",teamConstr,teamvc,vc1,2110,0
1306,"Sedimentologist: 23, 13 lookin' EXTRA PHRESH",teamGeo,teamGeo,geo3,2110,0
1307,"(23, 13) - () Ok, 160314.4 Available, ?75,347.768? After Loss",con1,geo3,geo3,2110,0
1308,"23, 13 extra phresh today",con1,geo3,geo3,2110,0
1309,"Martian Meteorology Specialist: Hey team - are you there? We would like to suggest (8,33) and (23,13)",teamvc,teamvc,vc1,2110,0
1310,"(23, 13) - () Ok, 160314.4 Available, ?75,347.768? After Loss",con2,geo3,geo3,2110,0
1311,"Fluid Engineer: 8, 33 is a nice op",teamvc,teamEng,eng3,2110,0
1312,"Martian Meteorology Specialist: We would like to suggest (8,33) and (23,13)",teamEng,teamvc,vc1,2110,0
1313,"8,33 is pretty cool for our team\n",geo3,con1,con1,2110,0
1314,"23, 13 lookin' on point like Tom Ashbrook",con2,geo3,geo3,2110,0
1315,"does 8, 33 work for your team?",vc3,eng3,eng3,2110,0
1316,"does 8, 33 work for your team?",vc2,eng3,eng3,2110,0
1317,"does 8, 33 work for your team?",vc1,eng3,eng3,2110,0
1318,"Fluid Engineer: does 8, 33 work for your team?",teamConstr,teamEng,eng3,2110,0
1319,"23, 13 lookin' pretty dece tbh",eng3,geo3,geo3,2110,0
1320,"Structural Geologist: 6:57 (8,33) also looks pretty good on our end",teamGeo,teamGeo,geo2,2110,0
1321,"ok, does 8, 33 work for your team?",con3,eng3,eng3,2110,0
1322,"Sedimentologist: 23, 13 lookin' aight tho",teamEng,teamGeo,geo3,2110,0
1323,"does 8, 33 work for your team?",con2,eng3,eng3,2110,0
1324,"does 8, 33 work for your team?",con1,eng3,eng3,2110,0
1325,"Fluid Engineer: does 8, 33 work for your team?",teamEng,teamEng,eng3,2110,0
1326,"does 8, 33 work for your team?",eng2,eng3,eng3,2110,0
1327,"does 8, 33 work for your team?",eng1,eng3,eng3,2110,0
1328,"Fluid Engineer: does 8, 33 work for your team?",teamGeo,teamEng,eng3,2110,0
1329,"does 8, 33 work for your team?",geo3,eng3,eng3,2110,0
1330,"Hi! 4,23 to depth\n",eng3,eng1,eng1,2110,0
1331,"does 8, 33 work for your team?",geo2,eng3,eng3,2110,0
1332,"does 8, 33 work for your team?",geo1,eng3,eng3,2110,0
1333,"Operations Specialist: 8,33 looks okay, 14,41 is a no go",teamConstr,teamConstr,con1,2110,0
1334,"Structural Geologist: 6:58 (8,33) is looking pretty good on our end",teamvc,teamGeo,geo2,2110,0
1335,"looking at 1,20",geo3,con2,con2,2110,0
1336,"Martian Meteorology Specialist: (7,12) has depth of 3,400 depth...much too deep (the usual is about 1,000 max I believe).  Glad that (8,33) is looking good for you all! Any pushback from any team members",teamEng,teamvc,vc1,2110,0
1337,"for 8,33 what data are you using????",con3,con1,con1,2110,0
1338,"like the drill brand, drill head, etc",con3,con1,con1,2110,0
1339,Large yikes tho,eng3,geo3,geo3,2110,0
1340,"Ok, it's pretty extra dece for us. We're ready to close that deal if y'all are.",con1,geo3,geo3,2110,0
1341,Hydrogeologist: Yep,teamEng,teamGeo,geo1,2110,0
1342,"We already suggested (8,33) .. it works for all of us here",eng3,con3,con3,2110,0
1343,Yep,eng3,geo1,geo1,2110,0
1344,96% water loss tho. RIP in peace,con2,geo3,geo3,2110,0
1345,"Yes, that works for us!",eng3,vc1,vc1,2110,0
1346,"Sedimentologist: 8, 33 Oh yeah, all day",teamEng,teamGeo,geo3,2110,0
1347,"8, 33 easily works for us tho",eng3,geo3,geo3,2110,0
1348,"Sedimentologist: 8, 33 is literally a point",teamGeo,teamGeo,geo3,2110,0
1349,Martian Meteorology Specialist: Guessing you two are not online today?? :(,teamvc,teamvc,vc1,2110,0
1350,Sedimentologist: a point that we are about,teamGeo,teamGeo,geo3,2110,0
1351,"Sedimentologist: Ok, team Geo, let's flex on 'em",teamGeo,teamGeo,geo3,2110,0
1352,Sedimentologist: Had to do it to 'em,teamGeo,teamGeo,geo3,2110,0
1353,Mechanical Engineer: everyone is good with it,teamvc,teamEng,eng2,2110,0
1354,"Mechanical Engineer: we have one more team member approving it now, will let you know",teamvc,teamEng,eng2,2110,0
1355,yeah I think we're all good with that\n,geo3,con1,con1,2110,0
1356,"We just dropped, but if that's not the point y'all agree on, let me know and we can change it",con1,geo3,geo3,2110,0
1357,"Sedimentologist: LOOKS LIKE WE DROPPIN' ON 8, 33 BOIS",teamGeo,teamGeo,geo3,2110,0
1358,"Structural Geologist: 7:06 we ready to sign off on (8,33) if yall are too",teamGeo,teamGeo,geo2,2110,0
1359,"Materials Specialist: ok.. we agreed on (8,33) .. so \nDrill brand: A, \nDrill Head A, \nEquipment: Steel\nEquipment Duty: 180",teamConstr,teamConstr,con3,2110,0
1360,Materials Specialist: Brand A\nDrill Head A\nEq Material: Steel\nEq Duty : 180,teamEng,teamConstr,con3,2110,0
1361,??????????,geo3,geo1,geo1,2110,0
1362,Sedimentologist: KEEP IT EXTRA REAL OUT THERE,teamGeo,teamGeo,geo3,2110,0
1363,Sedimentologist: We do be ready,teamGeo,teamGeo,geo3,2110,0
1364,???? ?????,geo1,geo3,geo3,2110,0
1365,Mechanical Engineer: I think the last info to be be filled out is filters from biomedical engineer!\n ,teamvc,teamEng,eng2,2110,0
1366,Live long and prosper my dude,con1,geo3,geo3,2110,0
1367,"Drilling Specialist: Was it supposed to be brand A, head A, or are both C now",teamConstr,teamConstr,con2,2110,0
1368,Drilling Specialist: Also we have about 10 minutes,teamConstr,teamConstr,con2,2110,0
1369,hello\n,geo3,con1,con1,2110,0
1370,refresh the relay page and log in,geo3,con1,con1,2110,0
1371,guys refresh your page on the relay it was having some maintenance issues,geo1,eng3,eng3,2110,0
1372,guys refresh your page on the relay it was having some maintenance issues,geo2,eng3,eng3,2110,0
