,sender,recipient,content,block,session,labels,labels_h
1312,teamvc,teamEng,"Martian Meteorology Specialist: We would like to suggest (8,33) and (23,13)",0,10,0,statement
1313,con1,geo3,"8,33 is pretty cool for our team\n",0,10,0,statement
1314,geo3,con2,"23, 13 lookin' on point like Tom Ashbrook",0,10,0,statement
1315,eng3,vc3,"does 8, 33 work for your team?",0,10,4,question
1316,eng3,vc2,"does 8, 33 work for your team?",0,10,4,question
1317,eng3,vc1,"does 8, 33 work for your team?",0,10,4,question
1318,teamEng,teamConstr,"Fluid Engineer: does 8, 33 work for your team?",0,10,4,question
1319,geo3,eng3,"23, 13 lookin' pretty dece tbh",0,10,0,statement
1320,teamGeo,teamGeo,"Structural Geologist: 6:57 (8,33) also looks pretty good on our end",0,10,0,statement
1321,eng3,con3,"ok, does 8, 33 work for your team?",0,10,4,question
1322,teamGeo,teamEng,"Sedimentologist: 23, 13 lookin' aight tho",0,10,0,statement
1323,eng3,con2,"does 8, 33 work for your team?",0,10,4,question
1324,eng3,con1,"does 8, 33 work for your team?",0,10,4,question
1325,teamEng,teamEng,"Fluid Engineer: does 8, 33 work for your team?",0,10,4,question
1326,eng3,eng2,"does 8, 33 work for your team?",0,10,4,question
1327,eng3,eng1,"does 8, 33 work for your team?",0,10,4,question
1328,teamEng,teamGeo,"Fluid Engineer: does 8, 33 work for your team?",0,10,4,question
1329,eng3,geo3,"does 8, 33 work for your team?",0,10,4,question
1330,eng1,eng3,"Hi! 4,23 to depth\n",0,10,0,statement
1331,eng3,geo2,"does 8, 33 work for your team?",0,10,4,question
1332,eng3,geo1,"does 8, 33 work for your team?",0,10,4,question
1333,teamConstr,teamConstr,"Operations Specialist: 8,33 looks okay, 14,41 is a no go",0,10,0,statement
1334,teamGeo,teamvc,"Structural Geologist: 6:58 (8,33) is looking pretty good on our end",0,10,0,statement
1335,con2,geo3,"looking at 1,20",0,10,0,statement
1336,teamvc,teamEng,"Martian Meteorology Specialist: (7,12) has depth of 3,400 depth...much too deep (the usual is about 1,000 max I believe).  Glad that (8,33) is looking good for you all! Any pushback from any team members",0,10,0,statement
1337,con1,con3,"for 8,33 what data are you using????",0,10,4,question
1338,con1,con3,"like the drill brand, drill head, etc",0,10,0,statement
1339,geo3,eng3,Large yikes tho,0,10,0,statement
1340,geo3,con1,"Ok, it's pretty extra dece for us. We're ready to close that deal if y'all are.",0,10,0,statement
1341,teamGeo,teamEng,Hydrogeologist: Yep,0,10,0,statement
1342,con3,eng3,"We already suggested (8,33) .. it works for all of us here",0,10,0,statement
1343,geo1,eng3,Yep,0,10,2,backchannel
1344,geo3,con2,96% water loss tho. RIP in peace,0,10,0,statement
1345,vc1,eng3,"Yes, that works for us!",0,10,0,statement
1346,teamGeo,teamEng,"Sedimentologist: 8, 33 Oh yeah, all day",0,10,0,statement
1347,geo3,eng3,"8, 33 easily works for us tho",0,10,0,statement
1348,teamGeo,teamGeo,"Sedimentologist: 8, 33 is literally a point",0,10,0,statement
1349,teamvc,teamvc,Martian Meteorology Specialist: Guessing you two are not online today?? :(,0,10,4,question
1350,teamGeo,teamGeo,Sedimentologist: a point that we are about,0,10,0,statement
1351,teamGeo,teamGeo,"Sedimentologist: Ok, team Geo, let's flex on 'em",0,10,0,statement
1352,teamGeo,teamGeo,Sedimentologist: Had to do it to 'em,0,10,0,statement
1353,teamEng,teamvc,Mechanical Engineer: everyone is good with it,0,10,0,statement
1354,teamEng,teamvc,"Mechanical Engineer: we have one more team member approving it now, will let you know",0,10,0,statement
1355,con1,geo3,yeah I think we're all good with that\n,0,10,0,statement
1356,geo3,con1,"We just dropped, but if that's not the point y'all agree on, let me know and we can change it",0,10,0,statement
1357,teamGeo,teamGeo,"Sedimentologist: LOOKS LIKE WE DROPPIN' ON 8, 33 BOIS",0,10,0,statement
1358,teamGeo,teamGeo,"Structural Geologist: 7:06 we ready to sign off on (8,33) if yall are too",0,10,0,statement
1359,teamConstr,teamConstr,"Materials Specialist: ok.. we agreed on (8,33) .. so \nDrill brand: A, \nDrill Head A, \nEquipment: Steel\nEquipment Duty: 180",0,10,0,statement
1360,teamConstr,teamEng,Materials Specialist: Brand A\nDrill Head A\nEq Material: Steel\nEq Duty : 180,0,10,0,statement
1361,geo1,geo3,??????????,0,10,4,question
1362,teamGeo,teamGeo,Sedimentologist: KEEP IT EXTRA REAL OUT THERE,0,10,0,statement
1363,teamGeo,teamGeo,Sedimentologist: We do be ready,0,10,0,statement
1364,geo3,geo1,???? ?????,0,10,4,question
1365,teamEng,teamvc,Mechanical Engineer: I think the last info to be be filled out is filters from biomedical engineer!\n ,0,10,0,statement
1366,geo3,con1,Live long and prosper my dude,0,10,0,statement
1367,teamConstr,teamConstr,"Drilling Specialist: Was it supposed to be brand A, head A, or are both C now",0,10,0,statement
1368,teamConstr,teamConstr,Drilling Specialist: Also we have about 10 minutes,0,10,0,statement
1369,con1,geo3,hello\n,0,10,0,statement
1370,con1,geo3,refresh the relay page and log in,0,10,0,statement
1371,eng3,geo1,guys refresh your page on the relay it was having some maintenance issues,0,10,0,statement
1372,eng3,geo2,guys refresh your page on the relay it was having some maintenance issues,0,10,0,statement
1373,eng3,geo3,guys refresh your page on the relay it was having some maintenance issues,0,10,0,statement
1374,teamEng,teamGeo,Fluid Engineer: guys refresh your page on the relay it was having some maintenance issues,0,10,0,statement
1375,eng3,eng1,guys refresh your page on the relay it was having some maintenance issues,0,10,0,statement
1376,teamConstr,teamGeo,Operations Specialist: refresh the relay page and log in again,0,10,0,statement
1377,eng3,eng2,guys refresh your page on the relay it was having some maintenance issues,0,10,0,statement
1378,teamEng,teamEng,Fluid Engineer: guys refresh your page on the relay it was having some maintenance issues,0,10,0,statement
1379,eng3,con1,guys refresh your page on the relay it was having some maintenance issues,0,10,0,statement
1380,eng3,con2,guys refresh your page on the relay it was having some maintenance issues,0,10,0,statement
1381,eng3,con3,guys refresh your page on the relay it was having some maintenance issues,0,10,0,statement
1382,teamConstr,teamEng,Operations Specialist: refresh the relay page and log in again,0,10,0,statement
1383,teamEng,teamConstr,Fluid Engineer: guys refresh your page on the relay it was having some maintenance issues,0,10,0,statement
1384,eng3,vc1,guys refresh your page on the relay it was having some maintenance issues,0,10,0,statement
1385,eng3,vc2,guys refresh your page on the relay it was having some maintenance issues,0,10,0,statement
1386,eng3,vc3,guys refresh your page on the relay it was having some maintenance issues,0,10,0,statement
1387,teamEng,teamvc,Fluid Engineer: guys refresh your page on the relay it was having some maintenance issues,0,10,0,statement
1388,teamEng,teamvc,Fluid Engineer: reload the page again and it starts,0,10,0,statement
1389,eng3,geo1,reload the page again and it starts,0,10,0,statement
1390,eng3,geo2,reload the page again and it starts,0,10,0,statement
1391,eng3,geo3,reload the page again and it starts,0,10,0,statement
1392,teamEng,teamGeo,Fluid Engineer: now reload the page again and it starts,0,10,0,statement
1393,eng3,eng1,now reload the page again and it starts,0,10,0,statement
1394,eng3,eng2,now reload the page again and it starts,0,10,0,statement
1395,teamEng,teamEng,Fluid Engineer: now reload the page again and it starts,0,10,0,statement
1396,eng3,con1,now reload the page again and it starts,0,10,0,statement
1397,eng3,con2,now reload the page again and it starts,0,10,0,statement
1398,eng3,con3,now reload the page again and it starts,0,10,0,statement
1399,teamEng,teamConstr,Fluid Engineer: now reload the page again and it starts,0,10,0,statement
1400,eng3,vc1,now reload the page again and it starts,0,10,0,statement
1401,eng3,vc2,now reload the page again and it starts,0,10,0,statement
1402,eng3,vc3,now reload the page again and it starts,0,10,0,statement
1403,teamEng,teamvc,Fluid Engineer: now reload the page again and it starts,0,10,0,statement
1404,teamEng,teamvc,Fluid Engineer: actually you have to reload every time in order to get messages from other people,0,10,0,statement
1405,eng3,vc3,actually you have to reload every time in order to get messages from other people,0,10,0,statement
1406,eng3,vc2,actually you have to reload every time in order to get messages from other people,0,10,0,statement
1407,eng3,vc1,actually you have to reload every time in order to get messages from other people,0,10,0,statement
1408,teamEng,teamConstr,Fluid Engineer: actually you have to reload every time in order to get messages from other people,0,10,0,statement
1409,eng3,con3,actually you have to reload every time in order to get messages from other people,0,10,0,statement
1410,eng3,con2,actually you have to reload every time in order to get messages from other people,0,10,0,statement
1411,eng3,con1,actually you have to reload every time in order to get messages from other people,0,10,0,statement
1412,teamEng,teamEng,Fluid Engineer: actually you have to reload every time in order to get messages from other people,0,10,0,statement
1413,eng3,eng2,actually you have to reload every time in order to get messages from other people,0,10,0,statement
1414,con2,eng1,you need to reload,0,10,0,statement
1415,eng3,eng1,actually you have to reload every time in order to get messages from other people,0,10,0,statement
1416,teamEng,teamGeo,Fluid Engineer: actually you have to reload every time in order to get messages from other people,0,10,0,statement
1417,eng3,geo3,actually you have to reload every time in order to get messages from other people,0,10,0,statement
1418,eng3,geo2,actually you have to reload every time in order to get messages from other people,0,10,0,statement
1419,eng3,geo1,actually you have to reload every time in order to get messages from other people,0,10,0,statement
1420,eng3,geo1,refresh again,0,10,0,statement
1421,eng3,eng1,refresh again,0,10,0,statement
1422,teamEng,teamGeo,Fluid Engineer: refresh again,0,10,0,statement
1423,vc3,geo1,hello,2,10,0,statement
1424,vc3,vc2,hello,2,10,0,statement
1425,vc3,vc2,hello\n,2,10,0,statement
1426,teamGeo,teamGeo,Sedimentologist: WHAT'S UP TEAM COMMS CHECK 15:30,0,11,0,statement
1427,geo3,con1,WHAT'S UP TEAM COMMS CHECK 15:30,0,11,0,statement
1428,teamvc,teamvc,Martian Meteorology Specialist: Greetings! Moscow team is in position and we are ready to go when you are!,0,11,0,statement
1429,geo3,con2,WHAT'S UP TEAM COMMS CHECK 15:30,0,11,0,statement
1430,teamvc,teamConstr,Martian Meteorology Specialist: Greetings! Moscow team is in position and we are ready to go when you are!,0,11,0,statement
1431,teamvc,teamEng,Martian Meteorology Specialist: Greetings! Moscow team is in position and we are ready to go when you are!,0,11,0,statement
1432,teamGeo,teamGeo,Sedimentologist: WE ARE LITERALLY OUT HERE,0,11,0,statement
1433,geo3,con1,WE ARE LITERALLY OUT HERE,0,11,0,statement
1434,teamvc,teamGeo,Martian Meteorology Specialist: Greetings! Moscow team is in position and we are ready to go when you are!,0,11,0,statement
1435,teamConstr,teamConstr,"Materials Specialist: Hello everyone, SIRIUS team from Moscow are ready to rock .. we are waiting you",0,11,0,statement
1436,eng1,eng2,"Hi, we started",0,11,0,statement
1437,eng1,eng3,"Hi, we started",0,11,0,statement
1438,teamvc,teamvc,Martian Terrain Specialist: Hi! Chicago team ready to go now!,0,11,0,statement
1439,teamEng,teamvc,Mechanical Engineer: Greetings! We are in position as well and ready to begin!\n,0,11,0,statement
1440,con1,geo3,ayooooo,0,11,0,statement
1441,teamvc,teamvc,Maintenance Specialist: Good morning!\n,0,11,0,statement
1442,teamGeo,teamGeo,Structural Geologist: GOOOOD MORNING VIETNAAAAAM\n\n,0,11,0,statement
1443,teamGeo,teamGeo,"Sedimentologist: (21, 38) - (+++++) - 53% Loss, 123,845 Available, 58,207 After loss",0,11,0,statement
1444,geo3,con1,"(21, 38) - (+++++) - 53% Loss, 123,845 Available, 58,207 After loss",0,11,0,statement
1445,geo3,con2,"(21, 38) - (+++++) - 53% Loss, 123,845 Available, 58,207 After loss",0,11,0,statement
1446,eng3,eng1,"Hello, we are starting now",0,11,0,statement
1447,con1,geo3,it is 6:37am local time and we are running on <4hours of sleep lets go finals season woop woop,0,11,0,statement
1448,teamGeo,teamGeo,"Sedimentologist: (11, 37) - (++++-) - 59% Loss, 195,693 Available, 80,234 After loss",0,11,0,statement
1449,geo3,con1,"(11, 37) - (++++-) - 59% Loss, 195,693 Available, 80,234 After loss",0,11,0,statement
1450,geo3,con2,"(11, 37) - (++++-) - 59% Loss, 195,693 Available, 80,234 After loss",0,11,0,statement
1451,teamGeo,teamGeo,"Structural Geologist: we started with 40,42\n",0,11,0,statement
1452,teamConstr,teamvc,Operations Specialist: lets ride 8),0,11,0,statement
1453,teamConstr,teamConstr,Operations Specialist: lesgoooo,0,11,0,statement
1454,teamvc,teamvc,"Martian Terrain Specialist: We're looking at 40, 42 at the moment",0,11,0,statement
1455,teamGeo,teamGeo,"Sedimentologist: 21, 38 is our main rn",0,11,0,statement
1456,geo3,con1,"21, 38 is our main rn",0,11,0,statement
1457,geo3,con2,"21, 38 is our main rn",0,11,0,statement
1458,teamGeo,teamGeo,"Structural Geologist: we also have 14,28",0,11,0,statement
1459,teamvc,teamvc,Maintenance Specialist: And we are loving it :)\n,0,11,0,statement
1460,eng2,eng1,"Hello! We have looked at 40,42 and 14,28\n40,42 is looking real good for us so far",0,11,0,statement
1461,geo3,con1,WE OUT HERE,0,11,0,statement
1462,teamGeo,teamGeo,Sedimentologist: AYYYYYYYYYYYY\n,0,11,0,statement
1463,teamConstr,teamConstr,Drilling Specialist: try 40 42,0,11,0,statement
1464,teamGeo,teamGeo,Sedimentologist: We goin' viral out here lmao let's ride finals be like that been there,0,11,0,statement
1465,geo3,con1,FINALS BE LIKE THAT LET'S RIDE,0,11,0,statement
1466,teamGeo,teamGeo,Sedimentologist: Lemme see if there be water there,0,11,0,statement
1467,teamvc,teamvc,"Martian Terrain Specialist: Our fluid engineer says 21, 38 has a lot of contaminants",1,11,0,statement
1468,teamvc,teamvc,"Martian Meteorology Specialist: Awesome! We will check that.  In the meantime, can you check (21,48)?\n",1,11,4,question
1469,teamGeo,teamGeo,"Sedimentologist: 40, 42 100% water loss big rip",1,11,0,statement
1470,geo3,con1,"40, 42 100% water loss big rip",1,11,0,statement
1471,geo3,con2,"40, 42 100% water loss big rip",1,11,0,statement
1472,teamGeo,teamGeo,"Sedimentologist: Verifying 14, 28",1,11,0,statement
1473,con1,geo3,"21,38 has a lot of contaminants, I think 40,42 is our main hoe atm tbh",1,11,0,statement
1474,teamvc,teamvc,"Martian Meteorology Specialist: Unfortunately, the sedimentologist said that there's 100% water loss at (40,42)!",1,11,0,statement
1475,teamEng,teamvc,"Fluid Engineer: 40,42 is our best point right now",1,11,0,statement
1476,eng3,eng1,"40,42 is our best point right now",1,11,0,statement
1477,teamvc,teamvc,"Martian Terrain Specialist: We would love it if y'all could take a look at 40, 42 since a lot of us really like it over here",1,11,0,statement
1478,teamConstr,teamConstr,Drilling Specialist: 40 42 drill brand + head?,1,11,4,question
1479,teamConstr,teamConstr,Drilling Specialist: 21 38 drill brand + head?,1,11,4,question
1480,teamGeo,teamGeo,"Sedimentologist: (14, 28) - (++++-) - 58% Loss, 215751.3 Available, ?90,615.546? After loss",1,11,0,statement
1481,teamGeo,teamGeo,"Sedimentologist: 14, 28 is passable on our end",1,11,0,statement
1482,geo3,con1,"14, 28 is passable on our end",1,11,0,statement
1483,geo3,con2,"14, 28 is passable on our end",1,11,0,statement
1484,teamEng,teamvc,"Mechanical Engineer: 40,42 is our best point so far. 21,38 is our next best point",1,11,0,statement
1485,teamvc,teamConstr,"Martian Meteorology Specialist: Heck yes!  We like (11, 37) and (21,48) so far.  We checked the (40,42) that was suggested to us by your side, and our sedimentologist says that it's 100% water loss there.  We also looked at the (14,28) that was suggested from your side, and it's average for us, it could pass, but (11,37) and (21,48) are better for us!",1,11,0,statement
1486,teamConstr,teamConstr,Materials Specialist: it's too deep,1,11,0,statement
1487,con1,geo3,"okay we kinda rockin wit 21,38 ngl",1,11,0,statement
1488,geo3,con1,We do sleep studies here where we just don't sleep for like 40 hours. It's a true delight. Get on our level scrub,1,11,0,statement
1489,teamvc,teamvc,"Maintenance Specialist: Hey meteorology, what kind of hygiene are we thinking for for 21, 38",1,11,0,statement
1490,teamvc,teamvc,"Martian Meteorology Specialist: You mentioned 21, 38* , but did you mean 21, 48?\n",1,11,4,question
1491,teamvc,teamvc,"Martian Terrain Specialist: Ok checking 21, 48 now!",1,11,0,statement
1492,eng1,eng2,Depth of UCA: 2379,1,11,0,statement
1493,teamGeo,teamGeo,"Sedimentologist: (06, 12) - 100% Water loss - RIP Size: Large",1,11,0,statement
1494,geo3,con1,"(06, 12) - 100% Water loss - RIP Size: Large",1,11,0,statement
1495,geo3,con1,"40, 42 has 100% water loss tho so it can't be tho",1,11,0,statement
1496,teamvc,teamvc,"Martian Meteorology Specialist: Yup, we looked at (40, 42). Our sedimentologist says that there's 100% water loss at that point :(\n",1,11,0,statement
1497,con1,geo3,"also loving 21,48",1,11,0,statement
1498,teamConstr,teamConstr,Drilling Specialist: 21 48 drill brand + head?\n,1,11,4,question
1499,teamConstr,teamConstr,"Materials Specialist: let's try (11,37) it works for all of us here",1,11,0,statement
1500,con1,geo3,my jaw just dropped I can't handle that I'm a princess,1,11,0,statement
1501,geo3,con1,"Large frig, we want 21, 48. lmao My BBBBB",1,11,0,statement
1502,teamvc,teamvc,"Maintenance Specialist: 21, 48 is probably best for us",1,11,0,statement
1503,teamGeo,teamGeo,"Sedimentologist: Large frig, we want 21, 48. lmao My BBBBB",1,11,0,statement
1504,con1,geo3,"I think we're ready to settle down with 21,48",1,11,0,statement
1505,teamvc,teamvc,"Martian Terrain Specialist: We're good with 21, 48. What parts source are you thinking for that one? ",1,11,4,question
1506,teamvc,teamvc,Maintenance Specialist: what hygiene decisions,1,11,0,statement
1507,teamGeo,teamGeo,"Sedimentologist: My fault y'all, I'm wilin' today.",1,11,0,statement
1508,teamvc,teamEng,"Martian Meteorology Specialist: Unfortunately, our sedimentologist says that there is 100% water loss at (40,42).  Did you all look at (21,48)? That's the one that we wanted to tell you.  Our sedimentologist made a mistake when he gave you all the (21,38) point.  It should have been (21,48)",1,11,0,statement
1509,teamConstr,teamvc,"Operations Specialist: I think we are loving 21,48",1,11,0,statement
1510,teamvc,teamvc,"Martian Meteorology Specialist: Yeah, (21,48) is the one that we wanted to tell you.  Our sedimentologist made a mistake when he gave you all the (21,38) point.  It should have been (21,48)",1,11,0,statement
1511,geo3,con1,"Although, from a water perspective 21, 38 is dece tbh. It's not like it's a 100% no",1,11,0,statement
1512,geo3,con1,"YEAH BOI LET'S MAKE 21, 48 HAPPEN",1,11,0,statement
1513,teamConstr,teamConstr,"Operations Specialist: I think we are leaning heavily toward 21,48",1,11,0,statement
1514,teamConstr,teamConstr,Drilling Specialist: 11 37 drill brand + head?\n,1,11,4,question
1515,teamGeo,teamGeo,Hydrogeologist: cool,1,11,0,statement
1516,geo3,con1,WE OUT HERE GOIN' VIRAL BOIIIIIIIIII,1,11,0,statement
1517,teamvc,teamvc,"Maintenance Specialist: Right now our hygiene is 10, 9, 7, 1",1,11,0,statement
1518,teamConstr,teamConstr,"Operations Specialist: 21,48 drill brand and head?",1,11,4,question
1519,geo3,con1,LARGE YEET,1,11,0,statement
1520,teamEng,teamvc,"Mechanical Engineer: We are liking 21,48 a lot!!!\n",1,11,0,statement
1521,teamEng,teamvc,Mechanical Engineer: We like it so much that we are willing to sign off on it,2,11,0,statement
1522,con1,geo3,"it's okay we like 21,48 better anyway",2,11,0,statement
1523,geo3,con1,POV: A scientist in a Russian science capsule in Moscow just called you a scrub. lmao,2,11,0,statement
1524,con1,geo3,I think we're ready to start signing off on it if you are,2,11,0,statement
1525,geo3,con1,"Hahaha, I hope y'all are doing alright out there. It's a wild time. Keep it real. I'm ready to toss 21, 48 into the sim and move on this product",2,11,0,statement
1526,teamConstr,teamConstr,Materials Specialist: Drill Brand : A\nDrill head: A\nEquip Material: Titanium\nEquip Duty: 180,2,11,0,statement
1527,geo3,con1,Yeah let's ROCK,2,11,0,statement
1528,teamvc,teamvc,"Martian Meteorology Specialist: Thinking hygiene will be: 4 (hygiene), 6 (usability), 5 (maintenance), 6 (fundraising).  And I'm thinking internal parts. \n",2,11,0,statement
1529,geo3,con1,*Lil Yachty plays in the background*,2,11,0,statement
1530,teamvc,teamConstr,"Martian Meteorology Specialist: WOOOO, that's the point I initially suggested to our team here!! :)",2,11,0,statement
1531,teamvc,teamEng,"Martian Meteorology Specialist: Wooooo, that's awesome! I FEEL SO COOL tha'ts the point that I sugggested to our team in the beginning! :)\n",2,11,0,statement
1532,teamGeo,teamGeo,Structural Geologist: so anyways\nhow's life,2,11,0,statement
1533,teamGeo,teamGeo,Structural Geologist: do you guys miss sunlight or something\n,2,11,0,statement
1534,con1,geo3,lmaoooo,2,11,0,statement
1535,geo3,con1,Meteorologist is having some tech issues. We're working it out. Should come through soon.,2,11,0,statement
1536,con1,geo3,we're keeping strong,2,11,0,statement
1537,teamvc,teamvc,Maintenance Specialist: Hell yeah! Space human factors is on beat right now,2,11,0,statement
1538,teamConstr,teamvc,Operations Specialist: yay!! :D,2,11,0,statement
1539,teamvc,teamvc,Martian Terrain Specialist: LETS GO METEOROLOGYYY,2,11,0,statement
1540,geo3,con1,We just crushed this in record time. Big up to the whole team there!,2,11,0,statement
1541,teamGeo,teamGeo,Sedimentologist: We just crushed this in record time. Big up to the whole team there!,2,11,0,statement
1542,teamvc,teamvc,Martian Terrain Specialist: space human factors represent,2,11,0,statement
1543,teamEng,teamvc,Mechanical Engineer: Congrats !!!!!! :) So happy for you!,2,11,0,statement
1544,teamGeo,teamGeo,"Sedimentologist: Hahaha, soooo, yeah, we exist which is dece.",2,11,0,statement
1545,teamGeo,teamGeo,Sedimentologist: A bit. We low key went viral for like 10 mins. THat's wild.,2,11,0,statement
1546,teamGeo,teamGeo,Sedimentologist: We found out via emails.,2,11,0,statement
1547,teamGeo,teamGeo,"Sedimentologist: Anyway, catch you in that relay task",2,11,0,statement
1548,teamGeo,teamGeo,Sedimentologist: WADDUP BOIZ WE OUT HERE IN THAT COUNTRY,0,12,0,statement
1549,teamGeo,teamGeo,Structural Geologist: 6:33 WADDUP BOIZ WE OUT HERE IN THAT OTHER COUNTRY!!!!!,0,12,0,statement
1550,teamvc,teamvc,Martian Terrain Specialist: Hey there! All of us are here and ready to begin.,0,12,0,statement
1551,teamGeo,teamGeo,Sedimentologist: Currently dealing with some connections issues with some members of our team. FYI 14:45,0,12,0,statement
1552,geo3,con1,Currently dealing with some connections issues with some members of our team. FYI 14:45,0,12,0,statement
1553,geo1,geo3,??????,0,12,4,question
1554,eng1,eng2,Hi we started,0,12,0,statement
1555,eng1,eng3,Hi we started,0,12,0,statement
1556,teamEng,teamEng,Biochemical Engineer: Hi we started,0,12,0,statement
1557,teamGeo,teamGeo,Sedimentologist: AYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY LMAOOOOOO,0,12,0,statement
1558,teamEng,teamEng,"Fluid Engineer: ok, us too",0,12,0,statement
1559,teamGeo,teamGeo,Structural Geologist: 6:39 got it. hope y'all can resolve things quickly and easily!,0,12,0,statement
1560,teamGeo,teamGeo,"Structural Geologist: 6:39 we looking at points 43,20 and 35,44",0,12,0,statement
1561,teamvc,teamvc,"Martian Meteorology Specialist: Hey there - one of our members had some log-in issues today, but it looks like we are all now good to go!\n",0,12,0,statement
1562,teamGeo,teamGeo,"Sedimentologist: (16, 21) - 41% water loss, 161k available,94k available",0,12,0,statement
1563,con2,con3,"Is there a good set of baseline options for drill brand, head, etc?",1,12,4,question
1564,teamGeo,teamGeo,"Structural Geologist: 6:46 looking at 33,47",1,12,0,statement
1565,teamvc,teamvc,"Martian Terrain Specialist: Great! We're looking at 33,47",1,12,0,statement
1566,teamvc,teamEng,"Martian Meteorology Specialist: Hey all - we apologize for the delays.  One member here had issues logging in today, and another is currently having issues with the interface right now.  The rest of us have the interface working, so we're looking up points.  ",1,12,0,statement
1567,teamvc,teamConstr,"Martian Meteorology Specialist: Hey all - we apologize for the delays.  One member here had issues logging in today, and another is currently having issues with the interface right now.  The rest of us have the interface working, so we're looking up points.  ",1,12,0,statement
1568,teamGeo,teamGeo,"Sedimentologist: 43, 20 is dirty and has 100% water loss",1,12,0,statement
1569,teamGeo,teamGeo,"Sedimentologist: 33, 47 it has 96% water loss and materials says it's too deep\n",1,12,0,statement
1570,teamvc,teamvc,"Martian Meteorology Specialist: Lots of red zones climate-wise in that spot, but it's do-able, just would increase the costs\n",1,12,0,statement
1571,teamvc,teamvc,"Martian Terrain Specialist: Looking at 31,50 and 34,48 as well now",1,12,0,statement
1572,eng2,eng1,Great!\n,1,12,0,statement
1573,teamGeo,teamGeo,"Sedimentologist: 31, 50 has 96% water loss",1,12,0,statement
1574,teamConstr,teamvc,"Drilling Specialist: We are looking at a rectangle bounded by 29, 50 and 36, 45",1,12,0,statement
1575,teamGeo,teamGeo,Sedimentologist: WE gettin' all kinds of errors in the system today but we makin' do,1,12,0,statement
1576,teamGeo,teamGeo,"Structural Geologist: 6:55 we are generally looking at the points in the area of (34,50), (34,48), (31,50), and (33,50)! they all have really good numbers for us so hopefully one of em also works with y'all!",1,12,0,statement
1577,teamvc,teamvc,"Martian Meteorology Specialist: Both of those are borderline for our sedimentologist, but I personally like both of those.  I like 31,50 better\n",1,12,0,statement
1578,teamGeo,teamGeo,"Sedimentologist: The best for us so far is 16, 21",1,12,0,statement
1579,teamGeo,teamGeo,"Sedimentologist: Ok, verifying now",1,12,0,statement
1580,teamvc,teamConstr,"Martian Meteorology Specialist: 29,50 has 100% water loss according to our sedimentologist.  The 36,45 could work, I personally really like it, and most of us here say it's decent and could work, \n but there's little water. ",1,12,0,statement
1581,teamConstr,teamvc,Materials Specialist: Hello,1,12,0,statement
1582,teamGeo,teamGeo,"Sedimentologist: 35, 50 - 100% water loss",1,12,0,statement
1583,teamGeo,teamGeo,"Sedimentologist: (34, 48) - 89% loss, 351k available, ?38k after loss",1,12,4,question
1584,con3,con2,For which point ?,1,12,4,question
1585,teamGeo,teamGeo,"Sedimentologist: (31, 50) - 96% water loss, 400k available, 16k after loss",2,12,0,statement
1586,teamvc,teamvc,"Martian Meteorology Specialist: Drilling specialist on your end suggested 36,45 and we like it. Not the BEST, but we like it.",2,12,0,statement
1587,teamGeo,teamGeo,"Sedimentologist: (33, 50) - 97% water loss, 412k available, 12k after loss",2,12,0,statement
1588,teamConstr,teamvc,"Operations Specialist: 36,45 is mediocre for us but doable I think",2,12,0,statement
1589,teamGeo,teamGeo,"Sedimentologist: In terms of our end, 34, 48 is the best bet",2,12,0,statement
1590,teamGeo,teamGeo,"Structural Geologist: 7:08 (16,21) not the best but we could maybe make do?",2,12,4,question
1591,teamvc,teamConstr,"Martian Meteorology Specialist: I think we're converging on 36,45 by the way",2,12,0,statement
1592,teamGeo,teamGeo,Structural Geologist: also 10 mins left,2,12,0,statement
1593,teamConstr,teamvc,Operations Specialist: we have 10 minutes left by the way,2,12,0,statement
1594,teamvc,teamvc,"Martian Meteorology Specialist: I think we're converging on 36,45 by the way",2,12,0,statement
1595,teamvc,teamEng,"Martian Meteorology Specialist: I think we're converging on 36,45 .... how about you?",2,12,4,question
1596,teamGeo,teamGeo,"Sedimentologist: 36, 45 works ok, I guess.",2,12,0,statement
1597,teamConstr,teamConstr,"Materials Specialist: we are looking for 36,45",2,12,0,statement
1598,teamConstr,teamConstr,Materials Specialist: what do you think guys?,2,12,4,question
1599,geo3,con1,"On our end, y'all's points 34, 48 and 36, 45 will work. ",2,12,0,statement
1600,teamGeo,teamGeo,"Structural Geologist: 7:10 (36,45) seems to be a happy medium for us can it work for y'all?",2,12,4,question
1601,teamvc,teamConstr,"Martian Meteorology Specialist: yeah it's mediocre for us, too, but it seems that at least all parties can semi-agree on it. ",2,12,0,statement
1602,con3,con2,"36,45 ???",2,12,4,question
1603,teamvc,teamConstr,Martian Meteorology Specialist: we're open to other options if you have them. ,2,12,0,statement
1604,con2,con3,"for 36, 45 what works",2,12,0,statement
1605,con1,con3,"what's your details for 36,45",2,12,0,statement
1606,teamGeo,teamGeo,"Sedimentologist: Y'all make the call if you want to use one of yours or 16, 21. It's up to y'all. Just make a call between (34, 48), (36, 45), and (16, 21)",2,12,0,statement
